User_id,Account,YouTubeLog_id,Video_id,Video_Time,Behavior,CreateDate
27,S10527110,305,gzCSV35U5-w,128,buffering,"2017-04-26 08:15:09"
27,S10527110,306,gzCSV35U5-w,128,playing,"2017-04-26 08:15:09"
27,S10527110,307,gzCSV35U5-w,129,paused,"2017-04-26 08:15:15"
27,S10527110,308,gzCSV35U5-w,129,buffering,"2017-04-26 08:15:15"
27,S10527110,309,gzCSV35U5-w,129,paused,"2017-04-26 08:15:15"
27,S10527110,310,gzCSV35U5-w,129,buffering,"2017-04-26 08:15:15"
27,S10527110,311,gzCSV35U5-w,129,playing,"2017-04-26 08:15:15"
27,S10527110,312,,182,paused,"2017-04-26 08:16:08"
15,S10412108,313,gzCSV35U5-w,0,buffering,"2017-04-26 08:16:14"
15,S10412108,314,gzCSV35U5-w,0,playing,"2017-04-26 08:16:15"
15,S10412108,315,gzCSV35U5-w,46,paused,"2017-04-26 08:16:46"
15,S10412108,316,gzCSV35U5-w,46,playing,"2017-04-26 08:16:47"
15,S10412108,317,gzCSV35U5-w,53,paused,"2017-04-26 08:16:53"
40,S10527122,318,gzCSV35U5-w,0,buffering,"2017-04-26 08:17:02"
40,S10527122,319,gzCSV35U5-w,0,playing,"2017-04-26 08:17:05"
40,S10527122,320,gzCSV35U5-w,6,buffering,"2017-04-26 08:17:10"
44,S10527126,321,gzCSV35U5-w,0,buffering,"2017-04-26 08:17:11"
44,S10527126,322,gzCSV35U5-w,0,playing,"2017-04-26 08:17:12"
40,S10527122,323,gzCSV35U5-w,6,playing,"2017-04-26 08:17:12"
40,S10527122,324,gzCSV35U5-w,15,buffering,"2017-04-26 08:17:17"
40,S10527122,325,gzCSV35U5-w,15,playing,"2017-04-26 08:17:17"
40,S10527122,326,gzCSV35U5-w,21,buffering,"2017-04-26 08:17:18"
40,S10527122,327,gzCSV35U5-w,21,playing,"2017-04-26 08:17:18"
40,S10527122,328,gzCSV35U5-w,26,buffering,"2017-04-26 08:17:18"
40,S10527122,329,gzCSV35U5-w,26,playing,"2017-04-26 08:17:18"
40,S10527122,330,gzCSV35U5-w,31,buffering,"2017-04-26 08:17:18"
40,S10527122,331,gzCSV35U5-w,31,playing,"2017-04-26 08:17:19"
40,S10527122,332,gzCSV35U5-w,36,buffering,"2017-04-26 08:17:19"
40,S10527122,333,gzCSV35U5-w,36,playing,"2017-04-26 08:17:19"
40,S10527122,334,gzCSV35U5-w,42,buffering,"2017-04-26 08:17:19"
40,S10527122,335,gzCSV35U5-w,42,playing,"2017-04-26 08:17:20"
40,S10527122,336,gzCSV35U5-w,47,buffering,"2017-04-26 08:17:20"
40,S10527122,337,gzCSV35U5-w,47,playing,"2017-04-26 08:17:21"
40,S10527122,338,gzCSV35U5-w,53,buffering,"2017-04-26 08:17:21"
