Account,Video_id,Behavior,Video_Time,CreateDate
S10412108,gzCSV35U5-w,playing,0,"2017-04-26 08:16:15"
S10412108,gzCSV35U5-w,paused,46,"2017-04-26 08:16:46"
S10412108,gzCSV35U5-w,playing,46,"2017-04-26 08:16:47"
S10412108,gzCSV35U5-w,paused,53,"2017-04-26 08:16:53"
S10527122,gzCSV35U5-w,buffering,0,"2017-04-26 08:17:02"
S10527122,gzCSV35U5-w,playing,0,"2017-04-26 08:17:05"
S10527122,gzCSV35U5-w,buffering,6,"2017-04-26 08:17:10"
S10527126,gzCSV35U5-w,buffering,0,"2017-04-26 08:17:11"
S10527126,gzCSV35U5-w,playing,0,"2017-04-26 08:17:12"
S10527122,gzCSV35U5-w,playing,6,"2017-04-26 08:17:12"
S10527122,gzCSV35U5-w,buffering,15,"2017-04-26 08:17:17"
S10527122,gzCSV35U5-w,playing,15,"2017-04-26 08:17:17"
S10527122,gzCSV35U5-w,buffering,21,"2017-04-26 08:17:18"
S10527122,gzCSV35U5-w,playing,21,"2017-04-26 08:17:18"
S10527122,gzCSV35U5-w,buffering,26,"2017-04-26 08:17:18"
S10527122,gzCSV35U5-w,playing,26,"2017-04-26 08:17:18"
S10527122,gzCSV35U5-w,buffering,31,"2017-04-26 08:17:18"
S10527122,gzCSV35U5-w,playing,31,"2017-04-26 08:17:19"
S10527122,gzCSV35U5-w,buffering,36,"2017-04-26 08:17:19"
S10527122,gzCSV35U5-w,playing,36,"2017-04-26 08:17:19"
S10527122,gzCSV35U5-w,buffering,42,"2017-04-26 08:17:19"
S10527122,gzCSV35U5-w,playing,42,"2017-04-26 08:17:20"
S10527122,gzCSV35U5-w,buffering,47,"2017-04-26 08:17:20"
S10527122,gzCSV35U5-w,playing,47,"2017-04-26 08:17:21"
S10527122,gzCSV35U5-w,buffering,53,"2017-04-26 08:17:21"
S10527122,gzCSV35U5-w,playing,53,"2017-04-26 08:17:21"
S10527122,gzCSV35U5-w,paused,56,"2017-04-26 08:17:24"
S10527122,gzCSV35U5-w,playing,56,"2017-04-26 08:17:26"
S10527122,gzCSV35U5-w,paused,60,"2017-04-26 08:17:30"
S10527138,gzCSV35U5-w,buffering,0,"2017-04-26 08:17:34"
S10527138,gzCSV35U5-w,playing,0,"2017-04-26 08:17:35"
S10527138,gzCSV35U5-w,paused,5,"2017-04-26 08:17:42"
S10527138,gzCSV35U5-w,paused,6,"2017-04-26 08:17:42"
S10527138,gzCSV35U5-w,playing,5,"2017-04-26 08:17:43"
S10527126,gzCSV35U5-w,paused,40,"2017-04-26 08:17:52"
S10527173,gzCSV35U5-w,buffering,0,"2017-04-26 08:17:56"
S10527173,gzCSV35U5-w,playing,0,"2017-04-26 08:17:58"
S10527133,gzCSV35U5-w,buffering,0,"2017-04-26 08:18:32"
S10527133,gzCSV35U5-w,playing,0,"2017-04-26 08:18:35"
S10527133,gzCSV35U5-w,paused,6,"2017-04-26 08:18:42"
S10527126,gzCSV35U5-w,playing,40,"2017-04-26 08:18:52"
S10527126,gzCSV35U5-w,paused,58,"2017-04-26 08:18:53"
S10527126,gzCSV35U5-w,playing,58,"2017-04-26 08:18:54"
S10527120,gzCSV35U5-w,buffering,0,"2017-04-26 08:19:02"
S10527120,gzCSV35U5-w,playing,0,"2017-04-26 08:19:03"
S10527126,gzCSV35U5-w,paused,72,"2017-04-26 08:19:08"
S10527120,gzCSV35U5-w,paused,37,"2017-04-26 08:19:17"
S10527120,gzCSV35U5-w,playing,37,"2017-04-26 08:19:17"
S10527120,gzCSV35U5-w,paused,64,"2017-04-26 08:19:20"
S10527120,gzCSV35U5-w,playing,64,"2017-04-26 08:19:20"
S10527120,gzCSV35U5-w,buffering,64,"2017-04-26 08:19:20"
S10527120,gzCSV35U5-w,playing,64,"2017-04-26 08:19:20"
S10412108,gzCSV35U5-w,playing,53,"2017-04-26 08:19:21"
S10527120,gzCSV35U5-w,paused,83,"2017-04-26 08:19:22"
S10527120,gzCSV35U5-w,playing,83,"2017-04-26 08:19:22"
S10527120,gzCSV35U5-w,buffering,83,"2017-04-26 08:19:22"
S10527120,gzCSV35U5-w,playing,83,"2017-04-26 08:19:22"
S10527120,gzCSV35U5-w,paused,101,"2017-04-26 08:19:24"
S10527120,gzCSV35U5-w,playing,101,"2017-04-26 08:19:25"
S10527120,gzCSV35U5-w,buffering,101,"2017-04-26 08:19:25"
S10527120,gzCSV35U5-w,playing,101,"2017-04-26 08:19:25"
S10527120,gzCSV35U5-w,playing,101,"2017-04-26 08:19:25"
